
17249, 1, 1
17441, 1, 1
17905, 1, 1
20850, 7, 1
21739, 8, 1
22220, 6, 1
22737, 8, 1
23345, 8, 1
23755, 8, 1
24156, 7, 1
25177, 8, 1
18274, 4, 1
18641, 1, 1
20754, 7, 1
22488, 6, 1
18811, 6, 1
19609, 7, 1
20256, 6, 1
20480, 7, 1
20622, 6, 1
20774, 6, 1
20970, 7, 1
21225, 6, 1
21642, 8, 1
21867, 7, 1
24894, 1, 1
25416, 1, 1
25711, 1, 1
25930, 1, 1
26611, 1, 1
19023, 1, 1
19316, 1, 1
19484, 1, 1
19740, 1, 1
20059, 1, 1
20695, 1, 1
20928, 2, 1
21867, 2, 1
24647, 1, 1
25299, 7, 1
25524, 8, 1
25661, 8, 1
27192, 7, 1
27357, 8, 1
28241, 8, 1
28639, 4, 1
17355, 7, 1
17623, 6, 1
18084, 8, 1
18330, 1, 1
18664, 1, 1
